valor_aluguel,area_m2,ano_construcao,codigo_localidade,numero_banheiros,numero_cozinhas,codigo_bairro
   120.97436  ,     35 ,          1939 ,                1 ,               0 ,              0 ,         1112
   436.97433  ,    104 ,          1939 ,                1 ,               1 ,              0 ,         1112
   355.7436   ,     29 ,          1971 ,                2 ,               0 ,              0 ,         2114
   282.9231   ,     39 ,          1972 ,                2 ,               0 ,              0 ,         2148
   807.2308   ,     97 ,          1985 ,                1 ,               0 ,              0 ,         2222
   482.82053  ,     62 ,          1962 ,                1 ,               0 ,              0 ,         2222
   323.69232  ,     31 ,          1965 ,                1 ,               0 ,              0 ,         2211
   370.97437  ,     61 ,          1957 ,                2 ,               1 ,              0 ,         2142
   373.69232  ,     72 ,          1978 ,                1 ,               0 ,              0 ,         2143
   521.6923   ,     75 ,          1968 ,                1 ,               0 ,              0 ,         2142
   644.2051   ,     65 ,          1956 ,                2 ,               0 ,              0 ,         2113
   700.46155  ,     91 ,          1984 ,                1 ,               0 ,              0 ,         1402
   781.1282   ,    100 ,          1959 ,                1 ,               0 ,              0 ,         1516
   412.30768  ,     32 ,          1994 ,                1 ,               0 ,              0 ,         1541
   330.30768  ,     64 ,          1962 ,                1 ,               0 ,              0 ,         1123
   245.89743  ,     63 ,          1929 ,                1 ,               0 ,              0 ,         1132
   557.02563  ,    103 ,          1955 ,                1 ,               1 ,              0 ,         1111
   424.97437  ,     73 ,          1980 ,                1 ,               0 ,              0 ,         1133
   330.20514  ,     60 ,          1957 ,                1 ,               0 ,              0 ,         1123
   292.30768  ,     58 ,          1934 ,                1 ,               0 ,              0 ,         1133
   333.53848  ,     32 ,          1972 ,                1 ,               0 ,              0 ,         1134
   322.2564   ,     81 ,          1996 ,                1 ,               0 ,              1 ,         1212
   185.48718  ,     39 ,          1935 ,                1 ,               0 ,              0 ,         1132
   472.05127  ,    108 ,          1955 ,                1 ,               1 ,              0 ,         1111
   685.5385   ,     87 ,          1979 ,                2 ,               1 ,              1 ,         2145
   509.1282   ,     60 ,          1939 ,                2 ,               0 ,              0 ,         2145
   688.97437  ,    125 ,          1979 ,                1 ,               0 ,              0 ,         2412
